Title,Original Url,Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",Size,Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
Cruz: Communist China has been the biggest geo-political threat US faces,https://www.youtube.com/watch?v=KiCmQczqQec,https://www.youtube.com/watch?v=KiCmQczqQec,text/html; charset=utf-8,200,OK,Indexable,,Cruz: Communist China has been the biggest geo-political threat US faces - YouTube,82,745,Foreign Relations Committee member Sen. Ted Cruz on issues surrounding China's actions before and after the COVID-19 outbreak. #FoxNews FOX News operates the...,160,1072,"health, communist china, ted cruz, senator ted cruz, sen cruz, senator cruz, china sanctions, sanctions on china, ted cruz china, ted cruz china sanctions, s...",160,This video is unavailable.,26,Cruz: Communist China has been the biggest geo-political threat US faces,72,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=KiCmQczqQec,,,,,315642,857,1.823608,0,,26,13,2.6,73,51,8,5,f5eb43f201b2292b5a93fdb9a1945b6e,0.096,,,,https://www.youtube.com/watch?v=KiCmQczqQec
Sources: Coronavirus pandemic may have started in Chinese laboratory,https://www.youtube.com/watch?v=eT47ulzfOMo&t=9s,https://www.youtube.com/watch?v=eT47ulzfOMo&t=9s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Sources: Coronavirus pandemic may have started in Chinese laboratory - YouTube,78,725,"Sources tell Fox News that the belief is now is that the coronavirus originated in a Wuhan lab, not as a bio weapon, but as China's effort to find and deal w...",160,978,"wuhan lab incident, wuhan lab, patient zero, wuhan patient zero, china laboratory, china laboratory incident, chinese laboratory inceident, chinese laborator...",160,This video is unavailable.,26,Sources: Coronavirus pandemic may have started in Chinese laboratory,68,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=eT47ulzfOMo,,,,,320751,879,1.8307722,0,,0,0,0,73,51,8,5,e10036ecf4d41d4cd308394af9ec67d,0.114,,,,https://www.youtube.com/watch?v=eT47ulzfOMo&t=9s
"Trump, Coronavirus Task Force hold White House briefing | 4/15/20",https://www.youtube.com/watch?v=QqmUoqpe2oY&t=25s,https://www.youtube.com/watch?v=QqmUoqpe2oY&t=25s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,"Trump, Coronavirus Task Force hold White House briefing | 4/15/20 - YouTube",75,690,Expected live at 5 p.m. ET: President Trump is expected to join the Coronavirus Task Force for a daily White House press briefing. Timing of this event is su...,160,991,"Fox News Channel, FNC, Fox News, live stream, live, fox, live video, live updates, fox live stream, coronavirus, corona virus, us coronavirus, coronavirus ou...",160,This video is unavailable.,26,"Trump, Coronavirus Task Force hold White House briefing | 4/15/20",65,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=QqmUoqpe2oY,,,,,314894,905,1.899699,0,,0,0,0,71,50,8,5,f2e7be3d49df668341e257d8395b4e23,0.152,,,,https://www.youtube.com/watch?v=QqmUoqpe2oY&t=25s
Trump attacks Dems for blocking small business relief funding,https://www.youtube.com/watch?v=WE2VoLcDkVs&t=4s,https://www.youtube.com/watch?v=WE2VoLcDkVs&t=4s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Trump attacks Dems for blocking small business relief funding - YouTube,71,638,"President Trump criticizes Democrat's lack of action in approving judges and cabinet positions, as well as blocking replenishing the paycheck protection prog...",160,996,"Democrats, Trump attacks, Trump attacks democrats, trump pay check protection program, paycheck protection program, small business relief, SBA, coronavirus p...",160,This video is unavailable.,26,Trump attacks Dems for blocking small business relief funding,61,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=WE2VoLcDkVs,,,,,321711,878,1.834888,0,,0,0,0,73,51,8,5,d712cd77fad3ba94acef05131b53e066,0.1,,,,https://www.youtube.com/watch?v=WE2VoLcDkVs&t=4s
Gutfeld on Trump dumping the WHO,https://www.youtube.com/watch?v=cz3Ko1poKpM,https://www.youtube.com/watch?v=cz3Ko1poKpM,text/html; charset=utf-8,200,OK,Indexable,,Gutfeld on Trump dumping the WHO - YouTube,42,417,"More media outrage after President Trump halts funding to the World Health Organization. #FoxNews #Gutfeld FOX News operates the FOX News Channel (FNC), FOX ...",160,1066,"WHO Funding, WHO, World Health Organization, World Health Organization funding, WHO trump, WHO trump funding, The Five, Fox News The Five, The Five Greg Gutf...",160,This video is unavailable.,26,Gutfeld on Trump dumping the WHO,32,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=cz3Ko1poKpM,,,,,321655,887,1.8420471,0,,188,94,18.8,75,52,8,5,c4f79e516c83b31541a698348e2a84d9,0.104,,,,https://www.youtube.com/watch?v=cz3Ko1poKpM
Protests heat up in Michigan in response to governor's coronavirus policy,https://www.youtube.com/watch?v=SC62S0-N3pI&t=4s,https://www.youtube.com/watch?v=SC62S0-N3pI&t=4s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Protests heat up in Michigan in response to governor's coronavirus policy - YouTube,83,735,"Citizen of Michigan protest Governor Gretchen Whitmer's 'arbitrary' stay at home order. #FoxNews FOX News operates the FOX News Channel (FNC), FOX Business N...",160,1060,"Gretchen Whitmer, Michigan Protests, operation gridlock in michigan, michigan protests today, protests in michigan, lansing michigan, coronavirus pandemic, m...",160,This video is unavailable.,26,Protests heat up in Michigan in response to governor's coronavirus policy,73,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=SC62S0-N3pI,,,,,319800,871,1.8235438,0,,0,0,0,73,51,8,5,5b4b756c9ec58f1a78e0f16b7a657f88,0.118,,,,https://www.youtube.com/watch?v=SC62S0-N3pI&t=4s
Sarah Sanders: Trump is under tremendous pressure to reopen the US,https://www.youtube.com/watch?v=Pw2_d9nDBdQ,https://www.youtube.com/watch?v=Pw2_d9nDBdQ,text/html; charset=utf-8,200,OK,Indexable,,Sarah Sanders: Trump is under tremendous pressure to reopen the US - YouTube,76,719,"Fox News contributor Sarah Sanders weighs in on efforts from Trump, governors to reopen economy amid coronavirus shutdown. Subscribe to Fox News! https://bit...",160,1038,"Fox News Channel, Fox News, News, politics, outnumbered overtime, harris faulkner, sarah sanders, sarah huckabee sanders, sarah sanders fox news, sarah sande...",160,This video is unavailable.,26,Sarah Sanders: Trump is under tremendous pressure to reopen the US,66,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=Pw2_d9nDBdQ,,,,,323314,855,1.7831074,0,,56,28,5.6,71,50,8,5,f895d4d1475adccd0fd294af483d42fb,0.092,,,,https://www.youtube.com/watch?v=Pw2_d9nDBdQ
New York Governor Cuomo speaks to press | 4/15/2020,https://www.youtube.com/watch?v=ZlTXHVbQnRc,https://www.youtube.com/watch?v=ZlTXHVbQnRc,text/html; charset=utf-8,200,OK,Indexable,,New York Governor Cuomo speaks to press | 4/15/2020 - YouTube,61,595,New York Governor Andrew Cuomo holds a press briefing on coronavirus efforts. This event is subject to delays in start time. FOX News operates the FOX News C...,160,1032,"Fox News Channel, FNC, Fox News, News, Latest News, Top stories, New York, Andrew Cuomo, NY Governor Andrew Cuomo, Coronavirus, wuhan coronavirus, wuhan chin...",160,This video is unavailable.,26,New York Governor Cuomo speaks to press | 4/15/2020,51,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=ZlTXHVbQnRc,,,,,320403,892,1.8595911,0,,2,1,0.2,71,50,8,5,af198929cccb89c8262c6915429be97e,0.088,,,,https://www.youtube.com/watch?v=ZlTXHVbQnRc
"This jail released 1,300 inmates to prevent spread of COVID-19",https://www.youtube.com/watch?v=s7klbHPC0eQ&t=4s,https://www.youtube.com/watch?v=s7klbHPC0eQ&t=4s,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,"This jail released 1,300 inmates to prevent spread of COVID-19 - YouTube",72,657,The Cook County Department of Corrections has become a hotspot for coronavirus cases; Matt Finn reports from Chicago. Subscribe to Fox News! https://bit.ly/2...,160,1026,"Fox News Channel, Fox News, News, americas newsroom, ed henry, ed henry americas newsroom, matt finn, matt finn fox news, coronavirus, chicago, chicago coron...",160,This video is unavailable.,26,"This jail released 1,300 inmates to prevent spread of COVID-19",62,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=s7klbHPC0eQ,,,,,315038,856,1.8240459,0,,0,0,0,71,50,8,5,851ceda71135f52375a0e5af8cd2c449,0.102,,,,https://www.youtube.com/watch?v=s7klbHPC0eQ&t=4s
China is still withholding information on coronavirus: Esper,https://www.youtube.com/watch?v=byLCp8LCYWI,https://www.youtube.com/watch?v=byLCp8LCYWI,text/html; charset=utf-8,200,OK,Indexable,,China is still withholding information on coronavirus: Esper - YouTube,70,602,"'We need to do more to press China,' says Secretary of Defense Mark Esper discussing China's cover up of coronavirus data. Subscribe to Fox News! https://bit...",160,1018,"Fox News Channel, Fox News, News, americas newsroom, ed henry, ed henry fox news, esper, mark esper, defense secretary, defense secretary mark esper, mark es...",160,This video is unavailable.,26,China is still withholding information on coronavirus: Esper,60,YouTube Premium,15,Transcript,10,,,,https://www.youtube.com/watch?v=byLCp8LCYWI,,,,,316398,891,1.8827671,0,,0,0,0,71,50,8,5,a6b1f2e1b8d387ffd9232810d2016f1,0.096,,,,https://www.youtube.com/watch?v=byLCp8LCYWI
